BTUNGPLHEAT,KWHOTH,KWHSPH,KWHCOL,KWHWTH,SQFTEST_x,FUELHEAT_x,TYPEHUQ_x,MONPOOL,ELWATER_x,BEDROOMS,kwh
856.02966,15209.768,1842.108,3990.2957,-227.48643,2760,1,2,5,0,4,18144.38
-0.28326526,1828.6033,-16.294182,1106.2736,100.43145,900,1,5,-2,0,1,2176.19
-0.17644833,3882.3406,754.0037,3106.6353,1824.2374,1800,5,4,-2,1,3,9729.96
0.27852258,2864.738,-78.984085,851.8679,-91.980896,900,1,5,-2,0,2,4721.91
1.1231071,2774.5396,-19.542072,1352.4794,3578.3096,1880,1,3,-2,1,3,7283.7
-0.50606674,5315.0093,49.222126,5251.82,65.595314,1500,1,2,-2,0,3,3575.66
-0.06602635,741.7329,2329.3074,239.53679,1540.1715,760,5,5,-2,1,2,6160.09
1.6936878,7279.926,836.9599,1115.3376,4395.202,920,2,1,-2,1,3,4773.89
0.45715898,4429.691,-40.401207,1612.9788,4718.775,2200,1,2,-2,1,3,13624.39
0.80724055,8194.795,80.76817,1578.8419,-80.37569,670,1,2,-2,0,3,12056.92
0.14633651,4609.3496,42.136353,1370.4484,-33.703667,1700,1,2,-2,0,3,6398.78
5.277133,10853.765,138.27858,3338.4766,179.19513,2100,1,2,6,0,4,15883.07
-0.507681,5584.0737,4519.585,2071.568,3239.865,1960,5,1,-2,1,3,17645.39
0.42803332,3741.573,393.07608,577.1467,1742.6326,1850,2,2,-2,1,3,6204.94
0.96910745,6083.5264,-13.707845,1088.5488,-318.40634,1200,3,2,-2,0,2,6267.44
0.42623,3436.0466,4816.0215,2187.871,2811.2603,900,5,2,-2,1,2,12590.62
-2.9257286,8250.617,31.895634,2600.5325,3.9184918,1400,1,5,-2,0,3,10916.67
-14.707878,6854.707,-9.947355,4720.118,3117.209,4740,1,2,-2,1,5,18927.41
0.81025314,3941.8982,8229.356,135.77959,2834.8416,1800,5,2,-2,1,1,18049.34
-1.0279875,4232.2505,4725.8877,2083.8027,1714.8094,750,5,2,-2,1,2,11974.77
-1.3243604,4835.7583,5586.0215,151.49136,1822.7949,2300,5,2,-2,1,3,13181.71
0.6902152,4950.029,134.19098,1.983387,2068.4934,900,1,2,-2,1,3,10895.27
0.9854556,4308.341,1232.0326,1580.5958,2451.47,1440,5,2,-2,1,2,8789.08
8.7189,7802.9395,-6.4425173,5267.223,-85.137665,1600,1,2,-2,0,3,12889.92
35272.56,7271.9595,59.425045,6065.3706,-110.599,1500,1,2,4,0,3,16199.78
4.9324894,10842.627,6030.8013,569.95447,1421.1232,750,5,5,-2,1,2,24238.61
0.40625587,9338.779,163.3462,2499.6826,-0.11718774,3170,1,2,-2,0,3,12438
-1.7628351,7925.707,-61.124664,1862.1477,82.16973,3430,1,2,-2,0,4,9022.24
-0.36078015,3373.888,10.192745,-295.79926,2543.3198,1350,3,2,-2,1,3,5765.34
1.3413299,4138.837,-21.059822,1265.0472,34.926075,1460,1,2,-2,0,3,3910.15
-0.34445137,2365.048,119.115654,1254.4585,1386.4663,1330,3,2,-2,1,3,4577.45
-1.106403,3726.43,-51.044266,486.38687,-47.908268,2200,3,2,-2,0,3,4599.93
-9.815977,8511.88,3888.438,2825.132,-108.87649,6370,1,2,-2,0,5,10247.15
2.820821,10429.255,2299.9866,7870.129,4428.0205,1950,5,2,-2,1,3,29380.28
-1.1211655,4646.5195,576.0955,1764.984,247.43309,1200,5,5,-2,0,2,8753.99
0.9174797,3280.5225,1473.3938,33.556107,547.1449,1150,5,1,-2,0,3,4016.32
0.2594924,2759.077,18.065954,2288.0117,7064.2305,860,-2,3,-2,1,3,12043.75
0.41227818,7028.748,-66.6863,5020.0293,220.66838,1200,1,2,-2,0,4,20462.57
-2.5265784,7490.055,319.0682,-118.248726,-215.82625,1800,7,2,-2,0,3,8689.42
-2.0566382,6937.6445,4.43441,9.459418,2246.7664,1000,2,2,-2,1,3,11136.99
1.0965288,4595.9097,10.455063,945.3413,-27.117474,1950,1,2,-2,0,4,9118.41
-2.3955266,5923.6064,18.848526,740.65546,2115.2854,1400,2,2,-2,1,3,1940.97
0.6509287,1501.0319,-245.71199,860.7445,-256.8779,780,3,5,-2,0,0,2541.36
-3.7670488,10985.49,5524.2305,6010.8477,-296.3576,2300,5,2,-2,0,4,24095.35
61.210068,16901.734,1500.7275,4718.1353,4520.0063,3500,1,2,4,1,5,30533.48
-1.3207164,5059.648,6502.7085,2246.7085,1123.0667,1350,5,2,-2,1,3,23912.12
0.4892775,6357.9756,-52.910107,1990.343,2546.8235,2920,3,2,-2,1,4,4581.29
-1.4720856,9170.445,-64.03188,1703.275,6885.388,4100,1,2,-2,1,5,16066.17
2.493045,3225.7422,1291.8562,2508.7266,2088.5352,710,5,5,-2,1,2,8041.83
86448.586,10226.351,-9.284502,7537.542,-89.34758,5000,1,2,12,0,5,16207.98
0.454587,4299.7,39.548794,1681.1283,2628.6482,1980,3,2,-2,1,3,8448.7
-0.051084593,4855.7783,-43.230103,1642.26,102.07745,1900,1,2,-2,0,4,7885.45
-0.9829012,5537.71,-5.297573,844.69806,-164.43532,1810,3,2,-2,0,3,6010.72
7.526759,12211.363,2968.0913,2255.065,-26.995409,2100,1,2,4,0,5,17782.42
0.069899596,3460.7039,478.47885,2568.4087,21.2192,2160,1,3,-2,0,2,8790.14
56.46598,18148.59,121.79372,7824.3447,1125.6179,4300,1,2,6,1,2,27778.01
0.58234996,4144.329,49.457607,809.8576,-45.803658,1000,1,2,-2,0,4,4289.95
-48.97604,8370.952,1381.1305,2388.3276,123.59818,1100,1,2,5,0,2,10390.58
0.09906051,5799.1353,-5.3353624,2076.2231,25.306213,2750,1,2,-2,0,4,5725.06
0.10084693,1357.5061,-280.19376,-126.2879,2129.5498,690,-2,5,-2,1,1,4085.2
2.1595309,3541.2825,479.16177,1164.9543,30.1901,930,1,2,-2,0,3,4063.68
-0.06649347,2312.7012,5258.068,1062.3613,1815.6492,580,5,2,-2,1,1,14519.14
-0.11731918,5657.4175,507.325,2001.2952,33.812683,2100,1,2,-2,0,3,8307.21
-2.8676386,6782.899,-10.325002,4836.21,49.4273,2300,1,2,-2,0,4,13236.12
-0.1421757,7447.7686,-51.741142,2431.1072,5026.4116,2010,1,2,-2,1,4,18727.28
1.7321826,3717.584,120.0999,4395.4004,1941.2457,1000,-2,2,-2,1,2,12174.42
0.05066757,6394.502,85.06023,763.2255,209.2016,2500,7,2,-2,0,4,8446.03
-0.8471995,1915.4758,-6.04552,1111.0898,1462.6796,1100,1,5,-2,1,2,8741.84
-50.005222,7859.8154,4198.2974,2765.472,4106.0747,1700,5,1,4,1,3,19541.36
-17.97031,12520.747,7098.1157,3090.8394,5161.232,2680,5,2,4,1,4,32262.55
0.57980585,3015.761,3328.6821,1492.1752,1877.062,2160,5,3,-2,1,3,6957.99
2.1967866,6932.628,-14.768118,666.9049,30.647352,2800,1,2,-2,0,3,8403.49
1.4658544,8794.413,-102.08422,2675.391,-26.923399,1230,1,2,-2,0,2,13732.92
0.37563407,1211.7437,-11.366147,829.9149,79.244095,600,1,4,-2,0,1,4428.51
0.14154169,2218.2212,1577.092,990.0121,1355.3389,680,5,5,-2,1,1,8162.15
41146.58,8929.416,8.114362,3426.975,-65.72874,2000,1,2,4,0,4,13933.59
-15.395128,6290.255,79.54581,1338.6771,81.81567,1100,1,2,-2,0,3,8257.1
4.344482,7427.2134,-43.417263,2436.7651,5696.226,4100,1,2,-2,1,4,15970.41
-0.35481632,1691.0186,16.843296,1120.4404,-11.657613,910,1,3,-2,0,2,5442
0.38670278,12547.826,247.5137,4298.3193,537.2188,1480,1,2,-2,0,3,19066.09
0.3132326,5379.508,2088.6665,1967.6742,1.3366306,1400,1,2,-2,0,3,12076.4
-0.10189609,3953.384,-32.306114,1057.1897,2156.3318,1060,3,2,-2,1,2,11038.45
-0.2734258,2892.4106,1425.9489,1181.2799,8.052831,860,1,5,-2,0,2,4188.52
73124.68,11521.968,46.60364,9251.108,-22.280626,3550,1,2,8,0,4,21471.17
0.06215801,4077.6462,155.79208,3370.8958,-101.605125,1500,1,2,-2,0,3,7645.02
-1.4208475,6761.213,16002.54,55.11492,4807.269,1610,5,2,-2,1,3,27534.26
-2.6771135,5817.7944,-26.725584,350.98108,-55.555145,2110,1,3,-2,0,2,5617.67
-0.71995735,2759.484,23.819752,-44.02898,3499.9858,1460,-2,2,-2,1,5,7447.48
-0.9697061,3465.3662,8398.446,1033.461,1580.0305,1260,5,3,-2,1,2,15199.48
0.08055616,4532.4697,-60.38649,814.20557,-11.9165945,1150,1,2,-2,0,3,3346.6
2.1511464,4892.057,82.66109,3995.7588,3736.303,1460,-2,3,-2,1,6,15026.49
-1.0278033,4044.5684,14.258671,2252.2964,92.97594,2280,1,2,-2,0,4,7940.44
-16.410881,7088.2227,-23.394085,4094.6943,-85.41206,4700,1,2,-2,0,4,14752.32
-0.997538,3817.0479,50.99812,402.60352,56.35402,1200,1,4,-2,0,2,1256.7
0.10760222,2736.2207,1212.9377,290.77823,1738.45,960,5,5,-2,1,2,5703.72
0.003721434,3177.6548,3035.1868,1146.2418,2559.178,800,5,5,-2,1,2,9099.49
-0.09892428,4245.159,1983.2002,2363.3474,757.94275,890,5,3,-2,1,2,6893.8
0.8835322,3323.101,4438.293,3205.542,4360.1777,1600,5,2,-2,1,3,14132.09
-2.2830827,7839.312,5988.0356,1315.9943,927.13074,2200,5,2,-2,0,3,12485.77
0.60364217,3108.6306,3116.3213,432.45605,1869.1671,900,5,5,-2,1,2,11150.75
-2.073057,7430.466,-37.445004,4457.9834,38.648468,1300,1,2,-2,0,3,16528.43
-0.47863302,6648.992,-2.118473,1964.5941,-0.40192115,1900,1,2,-2,0,2,10670.46
0.5907985,6550.55,5.8551764,1343.8726,-8.297338,1800,1,2,-2,0,3,8433.04
-7.111272,3039.761,15201.1,862.31647,2680.6748,1250,5,2,-2,1,3,18446.03
0.16639109,3550.4148,9367.194,747.7848,2902.3364,1680,5,2,-2,1,3,17287.87
8.393256,14744.078,84.75509,201.04797,3.8634434,2000,1,3,-2,0,4,16966.85
0.73073214,4152.876,4323.143,95.94377,3525.8838,1220,5,2,-2,1,3,9756.65
23910.047,10169.875,25.519115,8170.6333,-95.48352,3100,1,2,5,0,3,19197.83
0.7629923,2084.9543,-4.585945,1570.315,2002.8419,1210,1,3,-2,1,3,5114.12
-1.9595995,4283.795,42.816204,823.43207,40.658867,2600,7,2,-2,0,4,5378.36
51119.01,14106.97,1058.2292,1884.799,-118.33471,2800,1,2,5,0,4,19299.44
-3.6217577,7602.9736,23.539238,2212.062,3356.3352,1290,1,2,-2,1,2,15055.94
-1.178282,3901.0686,2145.4902,2502.9307,1862.3292,1090,5,2,-2,1,4,7266.5
1.7567605,4436.7856,45.368073,1178.8527,3062.593,1140,3,2,3,1,3,11181.42
0.8738224,4928.306,-16.3863,1150.6716,2778.3062,2200,1,2,-2,1,4,10568.63
0.8007347,2408.6172,-20.041893,612.0804,76.87425,1100,1,4,-2,0,2,2545.36
-0.19055633,6687.7637,10122.76,2832.9587,2700.203,2500,5,2,-2,1,3,41070.18
-0.7114654,5673.174,191.54965,760.13367,1106.2184,750,1,5,-2,1,1,6226.62
-0.11290191,5109.451,2690.993,5042.702,2736.5415,980,5,1,-2,1,3,19551.49
0.08946347,1466.496,2415.0684,860.0326,1461.5167,750,5,4,-2,1,2,2262.97
2.3680093,6078.627,-58.056343,784.6755,19.79004,2200,1,2,-2,0,4,6220.65
-0.5215483,1552.7656,1168.616,547.94806,1267.839,510,5,5,-2,1,0,5302.86
0.49219495,1564.0474,11.121391,1728.9084,-135.52519,670,-2,5,-2,0,2,3750.6
-0.032916244,2347.0493,432.81448,990.2874,653.5347,560,5,5,-2,1,2,4723.78
-0.36524808,1748.4696,1497.9436,1609.4791,2618.748,580,5,5,-2,1,2,6520.24
-0.36991912,1862.0679,5399.937,1180.7296,3230.6206,840,5,2,-2,1,2,13003.05
-0.14979465,3672.0618,-26.962463,-193.59476,-136.52971,1700,1,2,-2,0,3,4580.74
1.7744409,3292.4202,0.036981374,525.52905,-73.939255,1070,1,2,-2,0,3,3235.59
-0.1000943,9713.644,7112.368,3321.7078,4732.004,2100,5,2,-2,1,3,29293.75
0.7635704,2111.2285,1579.4309,773.3123,1293.7484,1000,5,5,-2,1,1,6063.07
0.59262496,3986.3013,-38.522995,1244.3463,1822.9968,950,1,5,-2,1,2,8906.54
-27.998495,10872.485,-27.498375,3095.3528,2841.483,2200,1,2,5,1,3,24897.41
8.540007,4095.6865,3527.3506,1432.021,12.976949,1250,1,2,-2,0,3,7126.37
0.22390677,4453.262,6511.624,91.56597,166.01419,1600,5,1,-2,0,3,9731.21
0.5346926,2763.7498,1533.5858,1578.6007,3753.774,1120,5,4,-2,1,2,13844.35
0.14505704,3216.562,919.1346,-158.30998,3097.2598,960,7,2,-2,1,3,3761.24
-0.48964146,5673.358,-15.042145,4093.1104,2727.6382,2250,-2,2,-2,1,4,17556.62
-0.9462951,5978.323,912.36993,2799.8862,-241.53302,1600,1,2,-2,0,4,10644.03
0.15263642,4953.4272,11.960528,822.194,-8.5563965,990,1,2,-2,0,3,6157.78
-0.22539568,6081.4287,834.04694,-315.1573,-93.887276,1850,1,2,-2,0,4,11748.83
-0.14176378,4133.968,41.613285,1086.7434,2827.4907,1700,3,2,-2,1,3,8982.68
-0.33790207,2111.9573,159.09592,322.62335,30.190191,850,1,4,-2,0,1,4150.23
-8.754069,9848.93,-224.66231,1509.9553,21.340082,2100,2,2,-2,0,3,10943.56
-0.10536508,3061.5312,1677.8988,1265.3135,-21.462206,1300,1,2,-2,0,3,4162.2
0.13843851,3917.7144,51.559235,848.9242,-74.45223,1000,1,2,-2,0,3,4303.67
-48.82455,8142.6523,25.723297,4593.392,0.29991484,1980,1,2,4,0,3,14989.43
0.56022185,4948.662,-13.645545,1291.9149,-72.46478,1190,1,5,-2,0,2,7907.59
-4.7604537,5429.4688,3903.5208,1719.1266,-17.579756,3410,1,2,-2,0,4,13486.07
1.0559015,6558.086,328.35724,-1293.8857,-166.66568,1920,1,2,-2,0,4,5462.85
0.5537536,4545.499,34.07206,837.44434,-50.38015,1600,1,2,-2,0,4,3586.78
16.757633,8917.43,19095.025,3592.0918,1996.9509,2400,5,2,5,1,4,38768.89
0.14202912,2568.6665,-250.16814,-2.2876422,193.9823,1300,1,2,-2,0,4,3156.84
-1.254892,4871.754,-81.31551,2117.6958,2583.9238,1200,3,2,-2,1,3,10590.25
0.7672954,5954.5015,399.28986,244.04312,3105.2817,1340,1,2,-2,1,3,8322.46
6.559469,5094.13,39.969093,3414.2913,75.550735,1500,2,2,-2,0,2,8741.49
-0.7668548,2604.0266,752.9637,1058.4478,15.800855,1260,1,2,-2,0,3,4175.83
0.43416008,7576.185,3850.9976,500.00656,370.01053,1200,5,2,-2,0,3,13904.22
-7.6897154,9431.337,7.2227664,4804.2075,-43.115044,3200,1,2,-2,0,4,17069.57
8.061697,7157.228,-12.514724,3013.9731,4333.686,1780,1,2,4,1,3,9730.29
0.57250816,3276.2427,-86.20678,1823.3068,2774.8823,1250,1,2,-2,1,3,5380.05
-0.12626602,5640.582,-41.7292,127.72415,0.97148377,1900,1,2,-2,0,3,9274.48
1.0567536,2143.978,1422.9824,908.78424,747.9248,1170,5,5,-2,1,2,2514.64
-0.1748001,16029.652,109.50005,3982.7734,61.35405,2200,3,2,5,0,4,18758.71
-1.1984344,4910.6274,9294.125,-72.794235,3578.9895,2090,5,2,-2,1,4,18086.94
24.015987,6676.6304,8002.051,1808.1754,5301.9653,1800,5,1,-2,1,4,21980.29
-0.9501532,6711.0596,470.67358,2754.0317,-42.773506,2100,1,2,-2,0,4,9510.16
0.3052759,8040.039,3.1725535,2331.7583,95.64071,1370,1,2,-2,0,3,12045.8
-0.18926235,1435.6108,752.61926,507.81583,1112.7017,750,5,5,-2,1,1,3202.68
1.0298512,5680.8745,-50.31478,1149.5223,-81.9507,900,1,2,-2,0,3,5873.39
-52.25208,8539.533,1341.7181,4576.27,1458.4043,1440,5,2,8,1,3,19272.07
0.310165,3550.5469,45.1365,965.8547,4.5267286,1490,1,2,-2,0,3,6330.98
2.5471416,7246.397,-9.986246,1872.0382,69.22059,3000,1,2,-2,0,5,17034.82
-13.248437,6683.5337,4308.4023,2746.526,3454.7068,2350,5,2,-2,1,4,14743.54
-3.5518544,6476.1016,4005.4219,288.09985,4108.296,2100,5,5,-2,1,3,18268.6
0.77218634,1725.1749,-30.612509,802.8407,8.32522,750,1,5,-2,0,2,1825.22
0.6987643,3228.851,2743.7217,2463.6873,5231.856,1170,5,2,-2,1,3,16570.57
-0.41846126,3847.6475,2.9418147,-90.1416,-38.627495,1720,3,2,-2,0,4,3912.62
0.54667515,3497.8833,1444.0015,2401.9973,1840.0175,1110,5,4,-2,1,3,8818.31
-4.2016754,6805.239,54.564907,1407.6342,9.992641,1600,3,2,-2,0,3,9862.03
-0.058252558,1513.6569,2440.448,238.22803,745.89355,600,5,4,-2,1,2,6327.95
1.0203592,3997.5962,-55.09057,2027.016,-86.18604,1680,1,3,-2,0,3,4063.42
0.11577302,1271.7683,-1.9245951,4184.5215,-62.2833,1020,1,3,-2,0,2,7701.53
1.0119184,5662.562,-12.85716,3757.4377,-58.27851,1690,1,3,-2,0,4,8698.25
1.1849415,6507.0063,598.6739,1032.5051,-69.2752,1380,1,2,-2,0,3,6291.51
-0.12807287,4493.6274,5938.266,794.2909,85.84221,1650,5,2,-2,0,3,8245.63
-2.6177456,10043.432,2896.0542,5715.2773,7160.7896,3250,5,2,-2,1,5,25188.91
0.39552274,4462.7627,4288.086,1792.511,2344.7075,2200,5,2,-2,1,3,9374.04
1.3938147,2806.6106,-158.8729,849.92786,-47.83393,1250,1,5,-2,0,2,4624.83
0.54794884,5698.7207,387.30115,3203.0205,-51.467854,1400,1,2,-2,0,3,14021.69
11.749661,5127.1523,-73.250305,1598.5111,31.70538,3600,1,2,-2,0,4,7450.96
0.24620166,4626.925,2951.1882,1334.1366,2964.1455,1100,3,2,-2,1,3,12634.27
1.5025184,7057.36,4458.8833,1339.9907,3231.7312,1260,5,2,-2,1,2,17303.1
0.94927824,4271.3853,-91.49279,685.617,40.468044,1700,7,2,-2,0,3,4785.22
1.7404786,4897.4946,464.7617,1303.3447,-34.86407,1700,1,3,-2,0,4,5789.59
0.37836358,3291.7302,-70.47844,582.90106,56.610714,1000,1,4,-2,0,2,5763.07
0.22489585,3485.388,-150.12975,885.726,5064.6904,1510,7,2,-2,1,2,10569.54
2.0772038,5981.627,195.15968,2308.1123,-63.986088,1800,1,2,-2,0,3,7523.24
-0.08385254,6839.1045,109.59738,793.5569,-250.83067,1350,2,2,-2,0,3,9049.78
0.17354462,1512.3159,1861.9114,5647.593,1271.7909,860,5,1,-2,1,2,10191.83
-0.84376365,8773.233,-207.2979,5042.678,3143.3762,2450,1,2,-2,1,6,28188.9
0.31556877,2636.648,1205.8604,833.1255,1894.8838,1000,5,5,-2,1,2,16700.69
-0.8877406,4083.324,378.35345,1414.1161,-3.1325057,1780,1,2,-2,0,3,6597.57
0.33484006,2533.363,-88.35649,1876.1681,1746.2518,780,5,5,-2,1,1,5305.58
0.1915261,-159.39474,547.1062,320.6273,1404.3114,650,5,5,-2,1,1,3283.42
0.40141296,4800.9233,-86.516304,1243.083,33.057144,1150,1,5,-2,0,2,1040.94
0.27346078,2341.6184,-21.61532,803.80383,948.1844,900,1,4,-2,1,3,3993.27
-0.36322987,8299.711,361.75177,2074.4424,40.492905,1200,2,2,-2,0,2,18537.74
0.330286,6639.8984,-108.55566,2046.7396,7286.6978,1250,1,2,-2,1,3,18450.26
-6.6436496,5906.411,562.75073,1581.0112,-8.983979,1610,1,2,-2,0,3,8913.22
-0.065744124,3818.1838,790.8411,1480.8502,-77.60071,2600,1,2,-2,0,6,5848.98
0.09499061,1222.3104,1850.8407,391.37335,1003.981,760,5,5,-2,1,1,5573.41
-3.8859606,6687.294,48.199783,2966.039,-117.46582,1840,1,2,-2,0,4,15102.39
1.5123836,4895.3726,100.80458,760.7564,103.46864,1470,1,2,-2,0,5,5221.86
0.05270593,2394.2961,248.07028,38.67295,119.61349,1000,1,2,-2,0,3,2999.16
-1.8841529,9509.988,-275.85532,6530.3438,64.638664,2100,1,2,-2,0,2,13786.75
-4.443801,12277.641,344.69592,2183.9546,43.44346,1850,1,2,-2,0,3,17323.96
0.8048622,7646.7437,-270.93167,3910.421,192.15405,1760,2,2,-2,0,3,8939.01
49.02744,7308.6694,5388.3203,1047.4985,4692.6875,2100,5,2,5,1,3,15910.05
